pmid,author,weightage
32888855,Désirée van Deukeren,0.11111
32888855,Marijn Kip,0.11111
32888855,Annemiek Doeksen,0.11111
32888855,Apollo Pronk,0.11111
32888855,Paul M Verheijen,0.11111
32888855,Joost T Heikens,0.11111
32888855,Arjen J Witkamp,0.11111
32888855,Milan C Richir,0.11111
32359088,Yogendra Singh,0.16667
32359088,Gaurav Gupta,0.16667
32359088,Saurabh Satija,0.16667
32359088,Poonam Negi,0.16667
32359088,Dinesh K Chellappan,0.16667
32359088,Kamal Dua,0.16667
33832871,Anna Viola,0.16667
33832871,Federica Giambò,0.16667
33832871,Michele Francesco Chiappetta,0.16667
33832871,Giuseppe Costantino,0.16667
33832871,Socrate Pallio,0.16667
33832871,Walter Fries,0.16667
32555983,Melanie Rodacki,1
33632051,Ashlee D Brunaugh,0.33333
33632051,Shivam Sharma,0.33333
33632051,Hugh Smyth,0.33333
33487628,George B Stefano,0.2
33487628,Radek Ptacek,0.2
33487628,Hana Ptackova,0.2
33487628,Anders Martin,0.2
33487628,Richard M Kream,0.2
32335697,Pietro Simone Randelli,0.5
32335697,Riccardo Compagnoni,0.5
32641878,Ashlesha Kaushik,0.33333
32641878,Sandeep Gupta,0.33333
32641878,Mangla Sood,0.33333
33060704,Wilnard Y T Tan,0.2
33060704,Barnaby E Young,0.2
33060704,David Chien Lye,0.2
33060704,Daniel E K Chew,0.2
33060704,Rinkoo Dalan,0.2
33182337,M Flores Vizcaya-Moreno,0.5
33182337,Rosa M Pérez-Cañaveras,0.5
33705082,Ming Cai,0.16667
33705082,Xinran Zhao,0.16667
33705082,Liqin Chen,0.16667
33705082,Weijun Yuan,0.16667
33705082,Guomin Wang,0.16667
33705082,Xudong Wang,0.16667
32574109,Hariharan Sivaraman,0.2
32574109,Shi Yin Er,0.2
32574109,Yeu Khai Choong,0.2
32574109,Edem Gavor,0.2
32574109,J Sivaraman,0.2
33208337,Chris Degeling,0.14286
33208337,Gang Chen,0.14286
33208337,Gwendolyn L Gilbert,0.14286
33208337,Victoria Brookes,0.14286
33208337,Thi Thai,0.14286
33208337,Andrew Wilson,0.14286
33208337,Jane Johnson,0.14286
34256815,Giuseppe Pontrelli,0.08333
34256815,Marco Ciabattini,0.08333
34256815,Franco De Crescenzo,0.08333
34256815,Isabella Biondi,0.08333
34256815,Rossana Cocchiola,0.08333
34256815,Giorgia Copponi,0.08333
34256815,Claudia Frillici,0.08333
34256815,Francesca Molinari,0.08333
34256815,Francesca Rocchi,0.08333
34256815,Alessandra Simonetti,0.08333
34256815,Paolo Rossi,0.08333
34256815,Susanna Livadiotti,0.08333
33715164,Su-Young Choi,0.33333
33715164,Vikram Arya,0.33333
33715164,Kellie Reynolds,0.33333
34485327,Penélope Saldanha Marinho,0.0625
34485327,Antonio José Ledo Alves da Cunha,0.0625
34485327,Leila Chimelli,0.0625
34485327,Elyzabeth Avvad-Portari,0.0625
34485327,Felipe da Matta Andreiuolo,0.0625
34485327,Patrícia Soares de Oliveira-Szejnfeld,0.0625
34485327,Mayara Abud Mendes,0.0625
34485327,Ismael Carlos Gomes,0.0625
34485327,Letícia Rocha Q Souza,0.0625
34485327,Marilia Zaluar Guimarães,0.0625
34485327,Suzan Menasce Goldman,0.0625
34485327,Mariana Barros Genuíno de Oliveira,0.0625
34485327,Stevens Rehen,0.0625
34485327,Joffre Amim,0.0625
34485327,Fernanda Tovar-Moll,0.0625
34485327,Arnaldo Prata-Barbosa,0.0625
32302069,Daniel Stadlbauer,0.0625
32302069,Fatima Amanat,0.0625
32302069,Veronika Chromikova,0.0625
32302069,Kaijun Jiang,0.0625
32302069,Shirin Strohmeier,0.0625
32302069,Guha Asthagiri Arunkumar,0.0625
32302069,Jessica Tan,0.0625
32302069,Disha Bhavsar,0.0625
32302069,Christina Capuano,0.0625
32302069,Ericka Kirkpatrick,0.0625
32302069,Philip Meade,0.0625
32302069,Ruhi Nichalle Brito,0.0625
32302069,Catherine Teo,0.0625
32302069,Meagan McMahon,0.0625
32302069,Viviana Simon,0.0625
32302069,Florian Krammer,0.0625
34579248,Massimo Cugno,0.05556
34579248,Dario Consonni,0.05556
34579248,Andrea Lombardi,0.05556
34579248,Patrizia Bono,0.05556
34579248,Massimo Oggioni,0.05556
34579248,Sara Uceda Renteria,0.05556
34579248,Angela Cecilia Pesatori,0.05556
34579248,Silvana Castaldi,0.05556
34579248,Luciano Riboldi,0.05556
34579248,Lorenzo Bordini,0.05556
34579248,Carlo Domenico Nava,0.05556
34579248,Ferruccio Ceriotti,0.05556
34579248,Adriana Torri,0.05556
34579248,Francesco Tafuri,0.05556
34579248,Gabriele Ghigliazza,0.05556
34579248,Flora Peyvandi,0.05556
34579248,Alessandra Bandera,0.05556
34579248,Andrea Gori,0.05556
34577400,Nikolaos Peladarinos,0.11111
34577400,Vasileios Cheimaras,0.11111
34577400,Dimitrios Piromalis,0.11111
34577400,Konstantinos G Arvanitis,0.11111
34577400,Panagiotis Papageorgas,0.11111
34577400,Nikolaos Monios,0.11111
34577400,Ioannis Dogas,0.11111
34577400,Milos Stojmenovic,0.11111
34577400,Georgios Tsaramirsis,0.11111
33520685,Panthakarn Rangsinth,0.16667
33520685,Chanin Sillapachaiyaporn,0.16667
33520685,Sunita Nilkhet,0.16667
33520685,Tewin Tencomnao,0.16667
33520685,Alison T Ung,0.16667
33520685,Siriporn Chuchawankul,0.16667
32836352,Pami Dua,1
32129583,Z W Zhu,0.09091
32129583,J J Tang,0.09091
32129583,X P Chai,0.09091
32129583,Z F Fang,0.09091
32129583,Q M Liu,0.09091
32129583,X Q Hu,0.09091
32129583,D Y Xu,0.09091
32129583,L Tang,0.09091
32129583,S Tai,0.09091
